lc_code_250,lc_code_11,lc_code_12,lc_code_21,lc_code_22,lc_code_23,lc_code_24,lc_code_31,lc_code_41,lc_code_42,lc_code_43,lc_code_52,lc_code_71,lc_code_81,lc_code_82,lc_code_90,lc_code_95,year,stnid
0.0,0.22060034809015966,0.0,6.545670718168731,0.9439975934507482,0.4605390383830281,0.0064461140675696,0.008594818756759468,31.092473087473767,0.17261261003158596,3.3713176573389005,0.0064461140675696,0.09525924122075076,43.273479970491124,13.748128836333166,0.030798100545054753,0.023635751581088535,2015,03314000
0.0,0.04174493842621582,0.0,24.238154873721562,27.71342099770403,18.62867877269881,13.019202671676059,3.7726988102692554,4.4927989981214775,1.4767271968273847,4.054477144646212,0.0,0.0,1.7480692965977878,0.0,0.5635566687539135,0.25046963055729493,2015,03431060
0.0,4.18125319592495,0.0,11.745270031074224,9.088227195846281,2.668843173504307,0.28910828777091613,0.5231483302521339,41.78893128269677,0.0,2.3423671478582384,0.0,0.4739802541006175,20.847264288242933,6.0516068127286315,0.0,0.0,2015,03083500
0.0,0.40192926045016075,0.0,8.561093247588424,1.487138263665595,0.0,0.0,0.0,71.82475884244373,0.0,1.6881028938906755,0.0,0.04019292604501608,14.7508038585209,0.0,1.0852090032154342,0.1607717041800643,2015,03072000
0.0,0.44189129474149363,0.0,30.048608042421566,60.31816173221387,8.705258506407423,0.13256738842244808,0.0,0.3535130357931949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,400150083053401
0.0,0.0,0.0,14.88970588235294,1.8382352941176472,0.0,0.0,0.0,82.90441176470588,0.0,0.0,0.0,0.3676470588235294,0.0,0.0,0.0,0.0,2015,03198350
0.0,0.16801075268817203,0.0,6.955645161290322,0.5040322580645161,0.4032258064516129,0.0,0.0,51.344086021505376,1.0416666666666665,12.768817204301076,0.0,0.03360215053763441,17.6747311827957,8.736559139784946,0.3696236559139785,0.0,2015,03048900
0.0,10.526315789473683,0.0,10.047846889952153,12.440191387559809,2.8708133971291865,0.0,0.0,59.33014354066985,0.0,0.0,0.0,0.0,0.0,0.0,0.9569377990430622,3.827751196172249,2015,03234500
0.0,1.0305766118729238,0.0,6.915935610254663,4.386338472021122,1.8311898475427988,0.1958947278766715,0.0,34.81815858955796,0.0,2.18039349288817,0.0,0.0,20.09198535048122,26.51392556000341,0.1277574312239162,1.9078443062771484,2015,03246500
0.0,13.796402602372751,0.0,24.68427095292767,27.152698048220437,11.040949100650593,1.7795637198622274,0.0,18.044393417527747,0.0,0.13394565633371602,0.019135093761959435,0.019135093761959435,1.1672407194795253,0.8419441255262151,0.36356678147722926,0.9567546880979716,2015,03353460
0.0,0.24784472285128345,0.0,16.41898393383032,18.147093413162015,9.21496398961968,4.170594924528852,0.02332656215070903,6.410916831086531,2.363758297938515,5.6100381972455216,0.0369337234052893,0.06317610582483696,31.47336398184416,4.761534499013481,0.8193454955436547,0.23812532195515468,2015,03428200
0.0,0.0,0.0,2.758932609678878,1.3116236996834012,0.18091361374943465,0.0,0.0,0.22614201718679333,0.0,0.0,0.0,0.0,95.52238805970148,0.0,0.0,0.0,2015,03288190
0.0,6.597949509425642,0.0,9.973174585675963,8.905670084150957,3.6489912909271305,0.6724727152463896,0.8378348583397641,53.16760371881087,0.02572300003674714,1.5286811450409732,0.007349428581927754,0.690846286701209,8.3011795832874,5.642523793775034,0.0,0.0,2015,03048500
0.0,0.0682425368800093,0.0,7.75060982692531,2.996863747241259,0.5357765129515624,0.011615750958299455,0.0,15.524451155767222,3.4556859100940875,8.512893483563712,0.0043559066093622955,0.13212916715065628,59.91985131838773,0.7056568707166918,0.3557323730979208,0.02613543965617377,2015,03425520
0.0,11.068556108770586,0.0,5.85982382229031,0.038299502106472615,0.0,0.0,0.0,56.26196859440827,0.5361930294906166,9.80467253925699,0.5744925315970892,1.5319800842589046,14.324013787820759,0.0,0.0,0.0,2015,03168000
0.0,0.4484304932735426,0.0,5.319842091142539,4.829251466022766,1.130658081330727,0.084320263692461,0.4522632325322908,40.28592234870262,0.0,0.5749108888122342,0.0,0.06515656739871986,10.494040090452646,34.33367827986662,0.6055728028822199,1.3759533938906137,2015,03363500
0.0,1.0574018126888218,0.0,9.28163813360188,5.589123867069486,1.6616314199395772,0.10070493454179255,0.0,30.17791205102383,0.0,0.9566968781470292,0.0,0.033568311513930846,21.23195703256126,29.875797247398456,0.033568311513930846,0.0,2015,03373500
0.0,0.0,0.0,20.926090828138914,8.993766696349065,2.4933214603739984,0.0,0.0,40.338379341050754,0.0,10.774710596616206,0.0,0.0,16.47373107747106,0.0,0.0,0.0,2015,03015500
0.0,0.0,0.0,15.823863636363637,26.543560606060606,43.16287878787879,12.670454545454547,0.00946969696969697,1.7897727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,03353620
0.0,0.0,0.0,31.487380543984315,38.42195540308747,12.325410438617986,3.2590051457975986,0.0,7.743200196030385,0.02450379808870375,3.9941190884587114,0.0,0.0,2.205341827983337,0.5390835579514826,0.0,0.0,2015,03301900
0.0,0.1323430114787306,0.0,12.086428089128967,3.8811613774476705,0.5482781904118839,0.05671843349088453,0.0513166779203241,73.1748818365969,0.03511141120864281,4.2781904118838625,0.02160702228224173,0.21066846725185684,5.471978392977718,0.0,0.0,0.0513166779203241,2015,03207061
